Cluster,Sentence,Motivo
2,"['pumpkin', 'vine', 'spread', 'vast', 'area', 'domin', 'garden']",Frases 2
2,"['red', 'mapl', 'leav', 'autumn', 'spectacular', 'sight']",Frases 2
2,"['motorcycl', 'paint', 'shade', 'blue', 'deep', 'resembl', 'ocean']",Frases 2
2,"['bus', 'larg', 'look', 'like', 'move', 'build', 'wheel']",Frases 2
2,"['blue', 'orchid', 'vibrant', 'look', 'almost', 'unreal']",Frases 2
2,"['sport', 'car', 'aerodynam', 'curv', 'hint', 'speed']",Frases 2
2,"['banjo', 'inlay', 'ad', 'touch', 'luxuri']",Frases 2
2,"['venus', 'flytrap', 'small', 'fierc', 'captur', 'insect', 'precis']",Frases 2
2,"['cano', 'craft', 'singl', 'tree', 'showcas', 'tradit', 'craftsmanship']",Frases 2
2,"['peacock', 'display', 'feather', 'iridesc', 'blue', 'green']",Frases 2
2,"['eleph', 'massiv', 'seem', 'like', 'move', 'mountain']",Frases 2
2,"['sunflow', 'radiant', 'yellow', 'brighten', 'landscap']",Frases 2
2,"['truck', 'custom', 'elabor', 'graffiti', 'told', 'stori']",Frases 2
2,"['flute', 'silver', 'reflect', 'eleg', 'melodi']",Frases 2
2,"['paint', 'done', 'shade', 'blue', 'evok', 'sens', 'calm']",Frases 2
2,"['architectur', 'build', 'marvel', 'blend', 'old', 'new', 'style']",Frases 2
2,"['robot', 'capabl', 'autonom', 'movement', 'revolution', 'industri']",Frases 2
2,"['vintag', 'scooter', 'maintain', 'air', 'eleg', 'despit', 'age']",Frases 2
2,"['feather', 'bald', 'eagl', 'command', 'respect', 'awe']",Frases 2
2,"['chameleon', 'chang', 'color', 'blend', 'environ']",Frases 2
2,"['rv', 'retract', 'awn', 'provid', 'shade', 'outdoor', 'activ']",Frases 2
2,"['coffe', 'plant', 'cherish', 'bean', 'produc']",Frases 2
2,"['fire', 'truck', 'red', 'hue', 'vivid', 'could', 'spot', 'mile', 'away']",Frases 2
2,"['design', 'smartphon', 'sleek', 'modern', 'appeal', 'young', 'consum']",Frases 2
2,"['kitten', 'tini', 'could', 'curl', 'insid', 'teacup']",Frases 2
2,"['size', 'car', 'seem', 'defi', 'physic', 'fit', 'narrow', 'alley', 'room', 'spare']",Frases 2
2,"['maraca', 'tell', 'uniqu', 'stori']",Frases 2
2,"['platypus', 'appear', 'bizarr', 'bill', 'tail']",Frases 2
2,"['firework', 'lit', 'sky', 'myriad', 'color', 'dazzl', 'crowd']",Frases 2
2,"['zebra', 'black', 'white', 'stripe', 'serv', 'effect', 'camouflag']",Frases 2
2,"['drone', 'equip', 'camera', 'aerial', 'photographi']",Frases 2
2,"['hamster', 'small', 'enough', 'fit', 'palm', 'child', 'hand']",Frases 2
2,"['ivi', 'aggress', 'climber', 'overtak', 'wall', 'build']",Frases 2
2,"['comput', 'code', 'eleg', 'optim', 'speed', 'readabl']",Frases 2
2,"['bonsai', 'tini', 'perfect', 'form', 'miniatur', 'masterpiec']",Frases 2
2,"['fountain', 'intric', 'carv', 'ad', 'eleg', 'garden']",Frases 2
2,"['bamboo', 'stalk', 'creat', 'sens', 'harmoni', 'balanc']",Frases 2
2,"['piccolo', 'small', 'could', 'fit', 'coat', 'pocket']",Frases 2
2,"['cactus', 'surpris', 'tall', 'stand', 'like', 'sentinel', 'desert']",Frases 2
2,"['grand', 'piano', 'fill', 'room', 'size', 'sound']",Frases 2
2,"['electr', 'guitar', 'vibrant', 'purpl', 'captur', 'essenc', 'rock']",Frases 2
2,"['ladybug', 'red', 'black', 'contrast', 'made', 'easili', 'notic']",Frases 2
2,"['theremin', 'uniqu', 'requir', 'physic', 'contact', 'play']",Frases 2
2,"['sculptur', 'coloss', 'becom', 'landmark', 'citi']",Frases 2
2,"['flamingo', 'pink', 'hue', 'made', 'standout', 'among', 'bird']",Frases 2
2,"['intric', 'vein', 'fern', 'leaf', 'form', 'natur', 'work', 'art']",Frases 2
2,"['minivan', 'equip', 'latest', 'entertain', 'system', 'long', 'journey']",Frases 2
1,"['bagpip', 'adorn', 'tartan', 'pattern', 'honor', 'scottish', 'tradit']",Frases 1
1,"['sitar', 'complex', 'architectur', 'made', 'visual', 'fascin']",Frases 1
1,"['kangaroo', 'carri', 'young', 'pouch', 'make', 'unusu', 'sight']",Frases 1
1,"['synthes', 'could', 'mimic', 'rang', 'instrument', 'make', 'versatil']",Frases 1
1,"['helicopt', 'jet', 'black', 'make', 'near', 'invis', 'night', 'sky']",Frases 1
1,"['harp', 'intric', 'wood', 'carv', 'make', 'piec', 'art', 'well', 'instrument']",Frases 1
1,"['electr', 'car', 'emit', 'nois', 'make', 'silent', 'oper', 'road']",Frases 1
1,"['layout', 'websit', 'intuit', 'make', 'great', 'user', 'experi']",Frases 1
1,"['globe', 'librari', 'enorm', 'make', 'centerpiec']",Frases 1
1,"['mural', 'cover', 'entir', 'build', 'make', 'artwork']",Frases 1
1,"['fashion', 'accessori', 'adorn', 'complex', 'beadwork', 'make', 'statement', 'piec']",Frases 1
0,"['fur', 'pattern', 'tiger', 'strike', 'intimid']",Frases 0
0,"['accordion', 'decor', 'ornat', 'pattern', 'gave', 'charm']",Frases 0
0,"['bicycl', 'intric', 'pattern', 'etch', 'frame', 'make', 'work', 'art']",Frases 0
0,"['armi', 'tank', 'camouflag', 'pattern', 'blend', 'surround']",Frases 0
0,"['hedgehog', 'spine', 'surpris', 'beauti', 'form', 'uniqu', 'pattern']",Frases 0
